総合順位,歯牙障害特徴順位,品詞,基本形,All出現回数,All出現事例数,All事例出現率(%),歯牙障害出現回数,歯牙障害出現事例数,歯牙障害事例出現率(%),出現率差_歯牙障害-All,出現率倍率_歯牙障害_All,特徴語,歯牙障害平均TF-IDF,TF-IDF差_歯牙障害-All,総合特徴スコア
42,32,名詞,唇,85,84,1.0935,56.0,56.0,3.5376,2.4441,3.2351,唇,0.00896763,0.00599194,3.750814
43,37,名詞,口唇,70,68,0.8852,50.0,49.0,3.0954,2.2102,3.4968,口唇,0.0081981,0.0081981,3.64909
44,48,名詞,上,583,541,7.0424,152.0,140.0,8.844,1.8016,1.2558,,,,3.5704
45,38,名詞,イレギュラー,56,56,0.729,46.0,46.0,2.9059,2.1769,3.9861,イレギュラー,0.01069983,0.0077473,3.53281
46,39,名詞,欠損,106,104,1.3538,55.0,55.0,3.4744,2.1206,2.5664,欠損,0.00876066,0.00539058,3.354538
47,41,名詞,ソフトボール,178,175,2.2781,68.0,68.0,4.2956,2.0175,1.8856,ソフトボール,0.01080727,0.00477766,3.354386
48,45,名詞,顎,254,224,2.9159,85.0,76.0,4.801,1.8851,1.6465,顎,0.01125378,0.00466568,3.311868
49,47,動詞,捕る,197,173,2.252,72.0,65.0,4.1061,1.8541,1.8233,捕る,0.01153036,0.00557327,3.232647
50,43,動詞,折る,43,42,0.5467,40.0,39.0,2.4637,1.917,4.5065,折る,0.00752802,0.00752802,3.162542
51,46,動詞,振る,170,163,2.1218,66.0,63.0,3.9798,1.858,1.8757,振る,0.0097956,0.0046186,3.11582
52,93,動詞,しまう,846,717,9.3335,192.0,159.0,10.0442,0.7107,1.0761,しまう,0.01836991,0.0034706,3.0666
53,49,名詞,前輪,68,66,0.8592,43.0,42.0,2.6532,1.794,3.088,前輪,0.00711266,0.00711266,3.035906
54,51,名詞,イレギュラーバウンド,41,41,0.5337,35.0,35.0,2.211,1.6773,4.1428,イレギュラーバウンド,0.00860615,0.00860615,2.980115
55,70,動詞,ぶつかる,556,534,6.9513,129.0,125.0,7.8964,0.9451,1.136,ぶつかる,0.01812243,0.00442458,2.966838
56,75,名詞,バランス,542,534,6.9513,126.0,124.0,7.8332,0.8819,1.1269,バランス,0.01638878,0.00430462,2.879002
57,89,形容詞,強い,592,577,7.5111,134.0,131.0,8.2754,0.7643,1.1018,強い,0.01785118,0.00426487,2.845867
58,83,動詞,崩す,519,518,6.743,120.0,120.0,7.5805,0.8375,1.1242,崩す,0.01593034,0.00406417,2.760017
59,53,動詞,打ちつける,162,162,2.1088,58.0,58.0,3.6639,1.5551,1.7374,打ちつける,0.00901163,0.00390247,2.678127
60,50,名詞,歯牙,36,36,0.4686,34.0,34.0,2.1478,1.6792,4.5834,歯牙,0.00517739,0.00517739,2.626499
61,54,名詞,バッター,149,134,1.7443,59.0,52.0,3.2849,1.5406,1.8832,バッター,0.00935053,0.00416075,2.613655
62,60,動詞,飛ぶ,280,274,3.5668,76.0,76.0,4.801,1.2342,1.346,飛ぶ,0.01159325,0.00357082,2.551482
63,72,名詞,２,452,389,5.0638,105.0,95.0,6.0013,0.9375,1.1851,２,0.01245099,0.00386416,2.524176
64,61,名詞,接触,245,239,3.1112,71.0,68.0,4.2956,1.1844,1.3807,接触,0.011808,0.00434789,2.478309
65,86,名詞,地面,448,429,5.5845,106.0,101.0,6.3803,0.7958,1.1425,地面,0.01377826,0.0035626,2.42812
66,57,名詞,下り坂,71,71,0.9242,36.0,36.0,2.2742,1.35,2.4607,下り坂,0.00611046,0.00611046,2.415886
67,56,動詞,欠ける,33,33,0.4296,30.0,30.0,1.8951,1.4655,4.4113,欠ける,0.00521618,0.00521618,2.366138
68,68,名詞,３,345,303,3.9443,88.0,78.0,4.9274,0.9831,1.2492,３,0.01101727,0.00392198,2.360778
69,67,名詞,選手,311,271,3.5277,79.0,72.0,4.5483,1.0206,1.2893,選手,0.01248211,0.00379738,2.309998
70,66,名詞,衝突,243,239,3.1112,66.0,66.0,4.1693,1.0581,1.3401,衝突,0.01067122,0.00340552,2.232512
71,73,名詞,バスケットボール,278,273,3.5538,72.0,71.0,4.4852,0.9314,1.2621,バスケットボール,0.01241486,0.00397007,2.225447
72,87,名詞,打球,379,352,4.5821,97.0,85.0,5.3696,0.7875,1.1719,打球,0.01577608,0.00329065,2.190485
73,58,名詞,上顎,30,30,0.3905,27.0,27.0,1.7056,1.3151,4.3677,上顎,0.00482862,0.00482862,2.139082
74,59,名詞,前のめり,103,102,1.3278,41.0,41.0,2.59,1.2622,1.9506,前のめり,0.00666554,0.00355458,2.135658
75,90,動詞,取る,334,321,4.1786,83.0,78.0,4.9274,0.7488,1.1792,取る,0.01156891,0.0028434,2.01862
76,65,名詞,ハンドル,75,68,0.8852,35.0,31.0,1.9583,1.0731,2.2123,ハンドル,0.00531078,0.00531078,1.995838
77,64,名詞,素振り,49,47,0.6118,29.0,27.0,1.7056,1.0938,2.7878,素振り,0.00520005,0.00520005,1.954925
78,62,名詞,ブレーキ,53,53,0.6899,29.0,29.0,1.832,1.1421,2.6555,ブレーキ,0.00440578,0.00440578,1.949078
79,74,名詞,フライ,59,57,0.742,28.0,26.0,1.6425,0.9005,2.2136,フライ,0.0050755,0.0050755,1.73655
80,79,名詞,キャッチャー,70,65,0.8461,31.0,27.0,1.7056,0.8595,2.0158,キャッチャー,0.00516887,0.00516887,1.717507
81,71,名詞,歩道,50,44,0.5728,27.0,24.0,1.5161,0.9433,2.6468,歩道,0.00426519,0.00426519,1.673039
82,88,動詞,避ける,85,82,1.0674,30.0,29.0,1.832,0.7646,1.7163,避ける,0.00523477,0.00523477,1.654477
83,76,名詞,走行,59,54,0.7029,27.0,25.0,1.5793,0.8764,2.2468,走行,0.00457693,0.00457693,1.649953
84,69,名詞,路面,35,34,0.4426,23.0,22.0,1.3898,0.9472,3.1401,路面,0.00416144,0.00416144,1.641304
85,95,名詞,2,253,217,2.8248,61.0,55.0,3.4744,0.6496,1.23,2,0.00751275,0.00258059,1.602539
86,80,名詞,タイヤ,71,56,0.729,26.0,25.0,1.5793,0.8503,2.1664,タイヤ,0.00416008,0.00416008,1.582168
87,77,名詞,段差,90,84,1.0935,32.0,31.0,1.9583,0.8648,1.7909,段差,0.00581735,0.00280357,1.536817
88,78,名詞,スティック,33,31,0.4035,21.0,20.0,1.2634,0.8599,3.1311,スティック,0.00422476,0.00422476,1.535056
89,98,名詞,バウンド,69,68,0.8852,25.0,24.0,1.5161,0.6309,1.7127,バウンド,0.00575082,0.00575082,1.509202
90,96,名詞,ディフェンス,65,62,0.8071,24.0,23.0,1.4529,0.6458,1.8001,ディフェンス,0.0051844,0.0051844,1.45482
91,99,名詞,チーム,208,190,2.4733,55.0,49.0,3.0954,0.6221,1.2515,チーム,0.00832395,0.00178834,1.420014
92,101,名詞,出血,200,191,2.4863,51.0,49.0,3.0954,0.6091,1.245,出血,0.00690647,0.00185211,1.413391
93,94,名詞,ごと,67,67,0.8722,25.0,25.0,1.5793,0.7071,1.8107,ごと,0.00373011,0.00373011,1.395971
94,82,名詞,口腔,24,23,0.2994,19.0,18.0,1.1371,0.8377,3.7979,口腔,0.00310708,0.00310708,1.375828
95,85,名詞,上唇,21,21,0.2734,17.0,17.0,1.0739,0.8005,3.9279,上唇,0.00346622,0.00346622,1.361902
96,81,動詞,抜け落ちる,18,18,0.2343,17.0,17.0,1.0739,0.8396,4.5834,抜け落ちる,0.00285667,0.00285667,1.340047
97,104,動詞,つまずく,171,169,2.1999,45.0,44.0,2.7795,0.5796,1.2635,つまずく,0.00731226,0.00201522,1.337022
98,84,名詞,脱落,16,16,0.2083,16.0,16.0,1.0107,0.8024,4.8521,脱落,0.0031068,0.0031068,1.31522
99,103,動詞,打ち付ける,138,138,1.7964,38.0,38.0,2.4005,0.6041,1.3363,打ち付ける,0.00596652,0.00198613,1.282813
100,110,名詞,ラケット,87,70,0.9112,30.0,23.0,1.4529,0.5417,1.5945,ラケット,0.00440566,0.00440566,1.272846
