歯牙障害特徴順位,品詞,基本形,All出現回数,All出現事例数,All事例出現率(%),歯牙障害出現回数,歯牙障害出現事例数,歯牙障害事例出現率(%),出現率差_歯牙障害-All,出現率倍率_歯牙障害_All
32,名詞,唇,85,84,1.0935,56.0,56.0,3.5376,2.4441,3.2351
33,名詞,試合,1036,965,12.5618,245.0,237.0,14.9716,2.4098,1.1918
34,動詞,ぶつける,427,422,5.4934,127.0,125.0,7.8964,2.403,1.4374
35,名詞,負傷,1636,1632,21.2445,375.0,373.0,23.5629,2.3184,1.1091
36,名詞,練習,2372,2068,26.9201,507.0,462.0,29.1851,2.265,1.0841
37,名詞,口唇,70,68,0.8852,50.0,49.0,3.0954,2.2102,3.4968
38,名詞,イレギュラー,56,56,0.729,46.0,46.0,2.9059,2.1769,3.9861
39,名詞,欠損,106,104,1.3538,55.0,55.0,3.4744,2.1206,2.5664
40,動詞,滑る,401,388,5.0508,118.0,112.0,7.0752,2.0244,1.4008
41,名詞,ソフトボール,178,175,2.2781,68.0,68.0,4.2956,2.0175,1.8856
42,名詞,生徒,3740,2296,29.888,813.0,505.0,31.9015,2.0135,1.0674
43,動詞,折る,43,42,0.5467,40.0,39.0,2.4637,1.917,4.5065
44,動詞,打つ,871,835,10.8696,207.0,202.0,12.7606,1.891,1.174
45,名詞,顎,254,224,2.9159,85.0,76.0,4.801,1.8851,1.6465
46,動詞,振る,170,163,2.1218,66.0,63.0,3.9798,1.858,1.8757
47,動詞,捕る,197,173,2.252,72.0,65.0,4.1061,1.8541,1.8233
48,名詞,上,583,541,7.0424,152.0,140.0,8.844,1.8016,1.2558
49,名詞,前輪,68,66,0.8592,43.0,42.0,2.6532,1.794,3.088
50,名詞,歯牙,36,36,0.4686,34.0,34.0,2.1478,1.6792,4.5834
51,名詞,イレギュラーバウンド,41,41,0.5337,35.0,35.0,2.211,1.6773,4.1428
52,名詞,活動,1134,1104,14.3713,261.0,253.0,15.9823,1.611,1.1121
53,動詞,打ちつける,162,162,2.1088,58.0,58.0,3.6639,1.5551,1.7374
54,名詞,バッター,149,134,1.7443,59.0,52.0,3.2849,1.5406,1.8832
55,名詞,相手,1092,908,11.8198,267.0,211.0,13.3291,1.5093,1.1277
56,動詞,欠ける,33,33,0.4296,30.0,30.0,1.8951,1.4655,4.4113
57,名詞,下り坂,71,71,0.9242,36.0,36.0,2.2742,1.35,2.4607
58,名詞,上顎,30,30,0.3905,27.0,27.0,1.7056,1.3151,4.3677
59,名詞,前のめり,103,102,1.3278,41.0,41.0,2.59,1.2622,1.9506
60,動詞,飛ぶ,280,274,3.5668,76.0,76.0,4.801,1.2342,1.346
61,名詞,接触,245,239,3.1112,71.0,68.0,4.2956,1.1844,1.3807
62,名詞,ブレーキ,53,53,0.6899,29.0,29.0,1.832,1.1421,2.6555
63,名詞,中,4509,4291,55.8578,941.0,902.0,56.9804,1.1226,1.0201
64,名詞,素振り,49,47,0.6118,29.0,27.0,1.7056,1.0938,2.7878
65,名詞,ハンドル,75,68,0.8852,35.0,31.0,1.9583,1.0731,2.2123
66,名詞,衝突,243,239,3.1112,66.0,66.0,4.1693,1.0581,1.3401
67,名詞,選手,311,271,3.5277,79.0,72.0,4.5483,1.0206,1.2893
68,名詞,３,345,303,3.9443,88.0,78.0,4.9274,0.9831,1.2492
69,名詞,路面,35,34,0.4426,23.0,22.0,1.3898,0.9472,3.1401
70,動詞,ぶつかる,556,534,6.9513,129.0,125.0,7.8964,0.9451,1.136
71,名詞,歩道,50,44,0.5728,27.0,24.0,1.5161,0.9433,2.6468
72,名詞,２,452,389,5.0638,105.0,95.0,6.0013,0.9375,1.1851
73,名詞,バスケットボール,278,273,3.5538,72.0,71.0,4.4852,0.9314,1.2621
74,名詞,フライ,59,57,0.742,28.0,26.0,1.6425,0.9005,2.2136
75,名詞,バランス,542,534,6.9513,126.0,124.0,7.8332,0.8819,1.1269
76,名詞,走行,59,54,0.7029,27.0,25.0,1.5793,0.8764,2.2468
77,名詞,段差,90,84,1.0935,32.0,31.0,1.9583,0.8648,1.7909
78,名詞,スティック,33,31,0.4035,21.0,20.0,1.2634,0.8599,3.1311
79,名詞,キャッチャー,70,65,0.8461,31.0,27.0,1.7056,0.8595,2.0158
80,名詞,タイヤ,71,56,0.729,26.0,25.0,1.5793,0.8503,2.1664
81,動詞,抜け落ちる,18,18,0.2343,17.0,17.0,1.0739,0.8396,4.5834
82,名詞,口腔,24,23,0.2994,19.0,18.0,1.1371,0.8377,3.7979
83,動詞,崩す,519,518,6.743,120.0,120.0,7.5805,0.8375,1.1242
84,名詞,脱落,16,16,0.2083,16.0,16.0,1.0107,0.8024,4.8521
85,名詞,上唇,21,21,0.2734,17.0,17.0,1.0739,0.8005,3.9279
86,名詞,地面,448,429,5.5845,106.0,101.0,6.3803,0.7958,1.1425
87,名詞,打球,379,352,4.5821,97.0,85.0,5.3696,0.7875,1.1719
88,動詞,避ける,85,82,1.0674,30.0,29.0,1.832,0.7646,1.7163
89,形容詞,強い,592,577,7.5111,134.0,131.0,8.2754,0.7643,1.1018
90,動詞,取る,334,321,4.1786,83.0,78.0,4.9274,0.7488,1.1792
91,名詞,上下,27,27,0.3515,17.0,17.0,1.0739,0.7224,3.0552
92,名詞,ホッケー,23,23,0.2994,16.0,16.0,1.0107,0.7113,3.3758
93,動詞,しまう,846,717,9.3335,192.0,159.0,10.0442,0.7107,1.0761
94,名詞,ごと,67,67,0.8722,25.0,25.0,1.5793,0.7071,1.8107
95,名詞,2,253,217,2.8248,61.0,55.0,3.4744,0.6496,1.23
96,名詞,ディフェンス,65,62,0.8071,24.0,23.0,1.4529,0.6458,1.8001
97,名詞,雨,49,48,0.6248,21.0,20.0,1.2634,0.6386,2.0221
98,名詞,バウンド,69,68,0.8852,25.0,24.0,1.5161,0.6309,1.7127
99,名詞,チーム,208,190,2.4733,55.0,49.0,3.0954,0.6221,1.2515
100,動詞,守る,49,45,0.5858,20.0,19.0,1.2003,0.6145,2.049
101,名詞,出血,200,191,2.4863,51.0,49.0,3.0954,0.6091,1.245
102,動詞,絡まる,26,26,0.3385,15.0,15.0,0.9476,0.6091,2.7994
103,動詞,打ち付ける,138,138,1.7964,38.0,38.0,2.4005,0.6041,1.3363
104,動詞,つまずく,171,169,2.1999,45.0,44.0,2.7795,0.5796,1.2635
105,名詞,レシーブ,45,40,0.5207,21.0,17.0,1.0739,0.5532,2.0624
106,名詞,坂道,46,45,0.5858,19.0,18.0,1.1371,0.5513,1.9411
107,名詞,勢い,150,147,1.9136,40.0,39.0,2.4637,0.5501,1.2875
108,名詞,縁石,22,21,0.2734,14.0,13.0,0.8212,0.5478,3.0037
109,名詞,車輪,21,21,0.2734,13.0,13.0,0.8212,0.5478,3.0037
110,名詞,ラケット,87,70,0.9112,30.0,23.0,1.4529,0.5417,1.5945
111,名詞,激突,75,75,0.9763,24.0,24.0,1.5161,0.5398,1.5529
112,名詞,ペダル,19,18,0.2343,13.0,12.0,0.7581,0.5238,3.2356
113,名詞,サード,26,24,0.3124,13.0,13.0,0.8212,0.5088,2.6287
114,名詞,スピード,66,63,0.8201,21.0,21.0,1.3266,0.5065,1.6176
115,動詞,下る,39,39,0.5077,16.0,16.0,1.0107,0.503,1.9907
116,名詞,シート,25,25,0.3254,13.0,13.0,0.8212,0.4958,2.5237
117,名詞,セカンド,27,25,0.3254,13.0,13.0,0.8212,0.4958,2.5237
118,名詞,スリップ,16,16,0.2083,11.0,11.0,0.6949,0.4866,3.3361
119,動詞,来る,125,123,1.6011,34.0,33.0,2.0846,0.4835,1.302
120,名詞,ショート,31,31,0.4035,14.0,14.0,0.8844,0.4809,2.1918
121,動詞,乗り上げる,18,18,0.2343,11.0,11.0,0.6949,0.4606,2.9659
122,名詞,ゲーム,148,135,1.7574,36.0,35.0,2.211,0.4536,1.2581
123,動詞,濡れる,38,38,0.4947,15.0,15.0,0.9476,0.4529,1.9155
124,名詞,バッターボックス,40,39,0.5077,16.0,15.0,0.9476,0.4399,1.8665
125,名詞,部,2710,2321,30.2135,551.0,485.0,30.638,0.4245,1.0141
126,名詞,バレーボール,121,118,1.5361,31.0,31.0,1.9583,0.4222,1.2749
127,名詞,歩行,22,21,0.2734,12.0,11.0,0.6949,0.4215,2.5417
128,名詞,道,27,26,0.3385,13.0,12.0,0.7581,0.4196,2.2396
129,名詞,破損,34,31,0.4035,13.0,13.0,0.8212,0.4177,2.0352
130,名詞,車道,12,12,0.1562,9.0,9.0,0.5685,0.4123,3.6396
131,名詞,3,213,178,2.3171,50.0,43.0,2.7164,0.3993,1.1723
132,動詞,止まる,50,47,0.6118,17.0,16.0,1.0107,0.3989,1.652
133,動詞,曲がる,53,52,0.6769,18.0,17.0,1.0739,0.397,1.5865
134,動詞,投げ出す,23,23,0.2994,11.0,11.0,0.6949,0.3955,2.321
135,動詞,追いかける,178,169,2.1999,42.0,41.0,2.59,0.3901,1.1773
136,名詞,歯槽,9,9,0.1172,8.0,8.0,0.5054,0.3882,4.3123
137,名詞,歯肉,9,9,0.1172,8.0,8.0,0.5054,0.3882,4.3123
138,名詞,雑巾,30,24,0.3124,12.0,11.0,0.6949,0.3825,2.2244
139,動詞,構える,15,15,0.1953,9.0,9.0,0.5685,0.3732,2.9109
140,名詞,ガードレール,20,20,0.2603,10.0,10.0,0.6317,0.3714,2.4268
141,名詞,正面,54,54,0.7029,17.0,17.0,1.0739,0.371,1.5278
142,動詞,引っ掛かる,59,59,0.768,18.0,18.0,1.1371,0.3691,1.4806
143,名詞,傘,71,50,0.6509,19.0,16.0,1.0107,0.3598,1.5528
144,動詞,追う,95,89,1.1586,26.0,24.0,1.5161,0.3575,1.3086
145,名詞,歯根,7,7,0.0911,7.0,7.0,0.4422,0.3511,4.854
146,名詞,カーブ,42,41,0.5337,14.0,14.0,0.8844,0.3507,1.6571
147,名詞,ロック,12,12,0.1562,8.0,8.0,0.5054,0.3492,3.2356
148,名詞,側溝,70,56,0.729,19.0,17.0,1.0739,0.3449,1.4731
149,名詞,アスファルト,29,27,0.3515,12.0,11.0,0.6949,0.3434,1.977
150,動詞,くる,729,697,9.0732,155.0,149.0,9.4125,0.3393,1.0374
151,動詞,向く,48,47,0.6118,15.0,15.0,0.9476,0.3358,1.5489
152,名詞,靴,50,47,0.6118,16.0,15.0,0.9476,0.3358,1.5489
153,動詞,離れる,122,115,1.497,32.0,29.0,1.832,0.335,1.2238
154,名詞,応援,35,28,0.3645,12.0,11.0,0.6949,0.3304,1.9064
155,動詞,損ねる,62,62,0.8071,18.0,18.0,1.1371,0.33,1.4089
156,名詞,バック,36,33,0.4296,14.0,12.0,0.7581,0.3285,1.7647
157,名詞,ドリブル,41,38,0.4947,14.0,13.0,0.8212,0.3265,1.66
158,名詞,がけ,16,14,0.1822,8.0,8.0,0.5054,0.3232,2.7739
159,名詞,ゴールキーパー,71,68,0.8852,21.0,19.0,1.2003,0.3151,1.356
160,動詞,ひっかかる,44,44,0.5728,14.0,14.0,0.8844,0.3116,1.544
161,名詞,交差点,15,15,0.1953,8.0,8.0,0.5054,0.3101,2.5878
162,名詞,坂,23,20,0.2603,9.0,9.0,0.5685,0.3082,2.184
163,名詞,損傷,111,108,1.4059,27.0,27.0,1.7056,0.2997,1.2132
164,名詞,滑走,21,21,0.2734,9.0,9.0,0.5685,0.2951,2.0794
165,名詞,球,289,235,3.0591,57.0,53.0,3.3481,0.289,1.0945
166,名詞,後方,180,172,2.239,42.0,40.0,2.5268,0.2878,1.1285
167,名詞,足,721,667,8.6826,153.0,142.0,8.9703,0.2877,1.0331
168,名詞,ゴロ,17,17,0.2213,8.0,8.0,0.5054,0.2841,2.2838
169,形容詞,低い,22,22,0.2864,9.0,9.0,0.5685,0.2821,1.985
170,名詞,完全,13,13,0.1692,7.0,7.0,0.4422,0.273,2.6135
171,名詞,馬,17,13,0.1692,10.0,7.0,0.4422,0.273,2.6135
172,名詞,遠征,18,18,0.2343,8.0,8.0,0.5054,0.2711,2.1571
173,名詞,途中,186,183,2.3822,42.0,42.0,2.6532,0.271,1.1138
174,名詞,キャッチ,61,57,0.742,18.0,16.0,1.0107,0.2687,1.3621
175,名詞,棒,111,72,0.9373,33.0,19.0,1.2003,0.263,1.2806
176,名詞,祭,109,106,1.3798,26.0,26.0,1.6425,0.2627,1.1904
177,動詞,立つ,146,140,1.8224,35.0,33.0,2.0846,0.2622,1.1439
178,名詞,ノッカー,11,9,0.1172,7.0,6.0,0.379,0.2618,3.2338
179,動詞,振り返る,54,53,0.6899,15.0,15.0,0.9476,0.2577,1.3735
180,動詞,降る,34,34,0.4426,11.0,11.0,0.6949,0.2523,1.57
181,名詞,根本,5,5,0.0651,5.0,5.0,0.3159,0.2508,4.8525
182,名詞,永久歯,5,5,0.0651,5.0,5.0,0.3159,0.2508,4.8525
183,名詞,デッドボール,10,10,0.1302,6.0,6.0,0.379,0.2488,2.9109
184,名詞,交流,10,10,0.1302,6.0,6.0,0.379,0.2488,2.9109
185,名詞,砂利,10,10,0.1302,6.0,6.0,0.379,0.2488,2.9109
186,名詞,自動車,11,10,0.1302,7.0,6.0,0.379,0.2488,2.9109
187,名詞,1,233,190,2.4733,57.0,43.0,2.7164,0.2431,1.0983
188,名詞,輪,25,25,0.3254,9.0,9.0,0.5685,0.2431,1.7471
189,名詞,チームメイト,35,30,0.3905,11.0,10.0,0.6317,0.2412,1.6177
190,動詞,抜く,36,35,0.4556,12.0,11.0,0.6949,0.2393,1.5252
191,名詞,冠,7,6,0.0781,6.0,5.0,0.3159,0.2378,4.0448
192,名詞,歯茎,6,6,0.0781,5.0,5.0,0.3159,0.2378,4.0448
193,名詞,他校,109,108,1.4059,26.0,26.0,1.6425,0.2366,1.1683
194,名詞,オフェンス,12,11,0.1432,7.0,6.0,0.379,0.2358,2.6466
195,名詞,スイング,17,16,0.2083,8.0,7.0,0.4422,0.2339,2.1229
196,名詞,発作,21,21,0.2734,8.0,8.0,0.5054,0.232,1.8486
197,名詞,バント,63,55,0.716,18.0,15.0,0.9476,0.2316,1.3235
198,動詞,やる,29,26,0.3385,9.0,9.0,0.5685,0.23,1.6795
199,動詞,引っかかる,36,36,0.4686,11.0,11.0,0.6949,0.2263,1.4829
200,動詞,立ち止まる,12,12,0.1562,6.0,6.0,0.379,0.2228,2.4264
201,名詞,滑り,17,17,0.2213,7.0,7.0,0.4422,0.2209,1.9982
202,名詞,ポスト,25,22,0.2864,9.0,8.0,0.5054,0.219,1.7647
203,名詞,走者,24,22,0.2864,8.0,8.0,0.5054,0.219,1.7647
204,名詞,荷物,30,27,0.3515,10.0,9.0,0.5685,0.217,1.6174
205,名詞,操作,35,32,0.4166,11.0,10.0,0.6317,0.2151,1.5163
206,動詞,受け止める,8,8,0.1041,5.0,5.0,0.3159,0.2118,3.0346
207,名詞,ブラシ,13,8,0.1041,7.0,5.0,0.3159,0.2118,3.0346
208,動詞,ぐらつく,13,13,0.1692,6.0,6.0,0.379,0.2098,2.24
209,動詞,外れる,82,81,1.0544,20.0,20.0,1.2634,0.209,1.1982
210,名詞,ひも,29,23,0.2994,10.0,8.0,0.5054,0.206,1.688
211,動詞,転ぶ,165,159,2.0698,38.0,36.0,2.2742,0.2044,1.0988
212,名詞,遠足,28,28,0.3645,9.0,9.0,0.5685,0.204,1.5597
213,名詞,結露,4,4,0.0521,4.0,4.0,0.2527,0.2006,4.8503
214,名詞,フェンス,51,38,0.4947,16.0,11.0,0.6949,0.2002,1.4047
215,名詞,早朝,9,9,0.1172,5.0,5.0,0.3159,0.1987,2.6954
216,名詞,先頭,15,14,0.1822,6.0,6.0,0.379,0.1968,2.0801
217,名詞,川,19,14,0.1822,8.0,6.0,0.379,0.1968,2.0801
218,動詞,とる,89,87,1.1325,22.0,21.0,1.3266,0.1941,1.1714
219,名詞,種目,24,24,0.3124,8.0,8.0,0.5054,0.193,1.6178
220,名詞,形式,92,92,1.1976,22.0,22.0,1.3898,0.1922,1.1605
221,名詞,階段,273,194,2.5254,64.0,43.0,2.7164,0.191,1.0756
222,名詞,渡り廊下,35,29,0.3775,10.0,9.0,0.5685,0.191,1.506
223,名詞,次,65,63,0.8201,16.0,16.0,1.0107,0.1906,1.2324
224,名詞,貧血,5,5,0.0651,4.0,4.0,0.2527,0.1876,3.8817
225,名詞,寄宿舎,11,10,0.1302,5.0,5.0,0.3159,0.1857,2.4263
226,名詞,照明,11,10,0.1302,5.0,5.0,0.3159,0.1857,2.4263
227,動詞,見失う,15,15,0.1953,6.0,6.0,0.379,0.1837,1.9406
228,動詞,言い争う,15,15,0.1953,6.0,6.0,0.379,0.1837,1.9406
229,動詞,跳ねる,16,15,0.1953,7.0,6.0,0.379,0.1837,1.9406
230,名詞,ライト,17,15,0.1953,7.0,6.0,0.379,0.1837,1.9406
231,名詞,半分,22,20,0.2603,7.0,7.0,0.4422,0.1819,1.6988
232,名詞,駐車,21,20,0.2603,8.0,7.0,0.4422,0.1819,1.6988
233,名詞,外野,62,54,0.7029,16.0,14.0,0.8844,0.1815,1.2582
234,動詞,渡す,26,25,0.3254,8.0,8.0,0.5054,0.18,1.5532
235,名詞,部員,145,127,1.6532,34.0,29.0,1.832,0.1788,1.1082
236,名詞,部活,30,30,0.3905,9.0,9.0,0.5685,0.178,1.4558
237,動詞,いく,100,98,1.2757,24.0,23.0,1.4529,0.1772,1.1389
238,動詞,振り回す,38,35,0.4556,11.0,10.0,0.6317,0.1761,1.3865
239,名詞,瞬間,69,69,0.8982,17.0,17.0,1.0739,0.1757,1.1956
240,動詞,取り返す,6,6,0.0781,4.0,4.0,0.2527,0.1746,3.2356
241,名詞,最寄り駅,6,6,0.0781,4.0,4.0,0.2527,0.1746,3.2356
242,動詞,かわす,11,11,0.1432,5.0,5.0,0.3159,0.1727,2.206
243,名詞,あご,11,11,0.1432,5.0,5.0,0.3159,0.1727,2.206
244,名詞,ダンス,11,11,0.1432,5.0,5.0,0.3159,0.1727,2.206
245,名詞,塁,74,45,0.5858,15.0,12.0,0.7581,0.1723,1.2941
246,名詞,硬式,45,45,0.5858,12.0,12.0,0.7581,0.1723,1.2941
247,名詞,自立,16,16,0.2083,6.0,6.0,0.379,0.1707,1.8195
248,動詞,走り出す,22,21,0.2734,8.0,7.0,0.4422,0.1688,1.6174
249,名詞,通常,27,26,0.3385,8.0,8.0,0.5054,0.1669,1.4931
250,名詞,バー,53,31,0.4035,13.0,9.0,0.5685,0.165,1.4089
251,動詞,つんのめる,7,7,0.0911,4.0,4.0,0.2527,0.1616,2.7739
252,名詞,カゴ,8,7,0.0911,5.0,4.0,0.2527,0.1616,2.7739
253,名詞,スケート,8,7,0.0911,5.0,4.0,0.2527,0.1616,2.7739
254,名詞,ルーズボール,7,7,0.0911,4.0,4.0,0.2527,0.1616,2.7739
255,名詞,浴室,7,7,0.0911,4.0,4.0,0.2527,0.1616,2.7739
256,名詞,経路,7,7,0.0911,4.0,4.0,0.2527,0.1616,2.7739
257,動詞,余る,41,41,0.5337,11.0,11.0,0.6949,0.1612,1.302
258,名詞,スキー,64,41,0.5337,16.0,11.0,0.6949,0.1612,1.302
259,名詞,グリップ,17,12,0.1562,5.0,5.0,0.3159,0.1597,2.0224
260,名詞,多量,12,12,0.1562,5.0,5.0,0.3159,0.1597,2.0224
261,動詞,放す,17,17,0.2213,6.0,6.0,0.379,0.1577,1.7126
262,名詞,ヘルメット,18,17,0.2213,6.0,6.0,0.379,0.1577,1.7126
263,名詞,交錯,18,17,0.2213,7.0,6.0,0.379,0.1577,1.7126
264,名詞,前進,17,17,0.2213,6.0,6.0,0.379,0.1577,1.7126
265,動詞,通る,52,51,0.6639,13.0,13.0,0.8212,0.1573,1.2369
266,動詞,あう,27,27,0.3515,8.0,8.0,0.5054,0.1539,1.4378
267,動詞,着く,33,32,0.4166,9.0,9.0,0.5685,0.1519,1.3646
268,名詞,ファウルフライ,3,3,0.0391,3.0,3.0,0.1895,0.1504,4.8465
269,名詞,マウス,4,3,0.0391,4.0,3.0,0.1895,0.1504,4.8465
270,名詞,亀裂,3,3,0.0391,3.0,3.0,0.1895,0.1504,4.8465
271,名詞,奥歯,3,3,0.0391,3.0,3.0,0.1895,0.1504,4.8465
272,名詞,抜歯,3,3,0.0391,3.0,3.0,0.1895,0.1504,4.8465
273,名詞,春季,3,3,0.0391,3.0,3.0,0.1895,0.1504,4.8465
274,名詞,汗,3,3,0.0391,3.0,3.0,0.1895,0.1504,4.8465
275,名詞,速攻,3,3,0.0391,3.0,3.0,0.1895,0.1504,4.8465
276,動詞,すべる,37,37,0.4816,10.0,10.0,0.6317,0.1501,1.3117
277,名詞,送球,77,71,0.9242,18.0,17.0,1.0739,0.1497,1.162
278,動詞,かすめる,8,8,0.1041,4.0,4.0,0.2527,0.1486,2.4275
279,名詞,デッキ,11,8,0.1041,5.0,4.0,0.2527,0.1486,2.4275
280,名詞,ミーティング,8,8,0.1041,4.0,4.0,0.2527,0.1486,2.4275
281,名詞,競り合い,8,8,0.1041,4.0,4.0,0.2527,0.1486,2.4275
282,名詞,鉄柱,9,8,0.1041,4.0,4.0,0.2527,0.1486,2.4275
283,名詞,駐輪場,8,8,0.1041,4.0,4.0,0.2527,0.1486,2.4275
284,動詞,振り切る,13,13,0.1692,5.0,5.0,0.3159,0.1467,1.867
285,名詞,シュート,171,149,1.9396,37.0,33.0,2.0846,0.145,1.0748
286,動詞,寄る,18,18,0.2343,6.0,6.0,0.379,0.1447,1.6176
287,動詞,気が付く,18,18,0.2343,6.0,6.0,0.379,0.1447,1.6176
288,動詞,起きる,18,18,0.2343,6.0,6.0,0.379,0.1447,1.6176
289,名詞,ファースト,29,23,0.2994,9.0,7.0,0.4422,0.1428,1.477
290,名詞,HR,4,4,0.0521,3.0,3.0,0.1895,0.1374,3.6372
291,名詞,コンクリートブロック,4,4,0.0521,3.0,3.0,0.1895,0.1374,3.6372
292,名詞,フェイント,4,4,0.0521,3.0,3.0,0.1895,0.1374,3.6372
293,名詞,亜,4,4,0.0521,3.0,3.0,0.1895,0.1374,3.6372
294,名詞,余り,4,4,0.0521,3.0,3.0,0.1895,0.1374,3.6372
295,名詞,境目,4,4,0.0521,3.0,3.0,0.1895,0.1374,3.6372
296,動詞,こぐ,9,9,0.1172,4.0,4.0,0.2527,0.1355,2.1561
297,動詞,覆う,9,9,0.1172,4.0,4.0,0.2527,0.1355,2.1561
298,動詞,駆け寄る,9,9,0.1172,4.0,4.0,0.2527,0.1355,2.1561
299,名詞,上口,9,9,0.1172,4.0,4.0,0.2527,0.1355,2.1561
300,名詞,前かがみ,9,9,0.1172,4.0,4.0,0.2527,0.1355,2.1561
301,名詞,左折,9,9,0.1172,4.0,4.0,0.2527,0.1355,2.1561
302,名詞,用水路,11,9,0.1172,4.0,4.0,0.2527,0.1355,2.1561
303,名詞,学年,43,43,0.5598,11.0,11.0,0.6949,0.1351,1.2413
304,動詞,はまる,14,14,0.1822,5.0,5.0,0.3159,0.1337,1.7338
305,名詞,シーソー,25,14,0.1822,8.0,5.0,0.3159,0.1337,1.7338
306,名詞,雨天,14,14,0.1822,5.0,5.0,0.3159,0.1337,1.7338
307,名詞,馬跳び,14,14,0.1822,5.0,5.0,0.3159,0.1337,1.7338
308,名詞,袋,25,19,0.2473,7.0,6.0,0.379,0.1317,1.5326
309,名詞,駅,21,19,0.2473,6.0,6.0,0.379,0.1317,1.5326
310,動詞,損なう,24,24,0.3124,7.0,7.0,0.4422,0.1298,1.4155
311,名詞,待機,29,29,0.3775,8.0,8.0,0.5054,0.1279,1.3388
312,名詞,ヘディング,35,34,0.4426,9.0,9.0,0.5685,0.1259,1.2845
313,名詞,当日,35,34,0.4426,9.0,9.0,0.5685,0.1259,1.2845
314,動詞,つかむ,72,68,0.8852,17.0,16.0,1.0107,0.1255,1.1418
315,動詞,うむ,6,5,0.0651,4.0,3.0,0.1895,0.1244,2.9109
316,名詞,凍結,5,5,0.0651,3.0,3.0,0.1895,0.1244,2.9109
317,名詞,可能,5,5,0.0651,3.0,3.0,0.1895,0.1244,2.9109
318,名詞,棒引き,5,5,0.0651,3.0,3.0,0.1895,0.1244,2.9109
319,名詞,県,5,5,0.0651,3.0,3.0,0.1895,0.1244,2.9109
320,名詞,脳貧血,5,5,0.0651,3.0,3.0,0.1895,0.1244,2.9109
321,名詞,鏡,7,5,0.0651,3.0,3.0,0.1895,0.1244,2.9109
322,名詞,路,40,39,0.5077,11.0,10.0,0.6317,0.124,1.2442
323,動詞,切れる,142,141,1.8355,31.0,31.0,1.9583,0.1228,1.0669
324,動詞,脱ぐ,10,10,0.1302,4.0,4.0,0.2527,0.1225,1.9409
325,名詞,監督,10,10,0.1302,4.0,4.0,0.2527,0.1225,1.9409
326,名詞,空振り,10,10,0.1302,4.0,4.0,0.2527,0.1225,1.9409
327,名詞,車椅子,18,10,0.1302,9.0,4.0,0.2527,0.1225,1.9409
328,動詞,つなぐ,15,15,0.1953,5.0,5.0,0.3159,0.1206,1.6175
329,名詞,ポジション,17,15,0.1953,6.0,5.0,0.3159,0.1206,1.6175
